date,median,var,0.95_low,0.95_high,0.5_low,0.5_high
2021-03-31,0.93887293,Lambda,0.9253218,0.9521902,0.93408626,0.94346213
2021-04-01,0.94140905,Lambda,0.92777437,0.9545474,0.9365762,0.9461069
2021-04-02,0.9438822,Lambda,0.93043095,0.9568972,0.9391552,0.94869673
2021-04-03,0.9464276,Lambda,0.93275696,0.9596613,0.94164956,0.95141727
2021-04-04,0.94897556,Lambda,0.9354106,0.96234316,0.9442905,0.9540036
2021-04-05,0.9516097,Lambda,0.93775517,0.96538395,0.94698656,0.9567522
2021-04-06,0.95413464,Lambda,0.9400083,0.9684604,0.94943213,0.95942557
2021-04-07,0.95682555,Lambda,0.9421968,0.9714989,0.95214486,0.962148
2021-04-08,0.9595362,Lambda,0.94461715,0.9743369,0.9546459,0.9648999
2021-04-09,0.9622048,Lambda,0.94684607,0.9774956,0.9570184,0.96765196
2021-04-10,0.96478283,Lambda,0.9489739,0.9808971,0.9594952,0.9704666
2021-04-11,0.96754515,Lambda,0.9511937,0.98405826,0.9620014,0.9733565
2021-04-12,0.97024745,Lambda,0.9533776,0.9874559,0.96456486,0.9763054
2021-04-13,0.97286737,Lambda,0.95575786,0.99084747,0.9669433,0.9793594
2021-04-14,0.97562003,Lambda,0.957919,0.99375606,0.9693676,0.9822755
2021-04-15,0.97848463,Lambda,0.95944875,0.9974445,0.9717045,0.98517543
2021-04-16,0.98123896,Lambda,0.9616204,1.0005535,0.9742352,0.98796564
2021-04-17,0.98397136,Lambda,0.963918,1.0036827,0.97673345,0.990958
2021-04-18,0.9867179,Lambda,0.9657313,1.0068196,0.9791028,0.99386334
2021-04-19,0.9893536,Lambda,0.96762216,1.0102601,0.9815186,0.99682444
2021-04-20,0.99217623,Lambda,0.9696603,1.0138339,0.98391306,0.99984586
2021-04-21,0.9949627,Lambda,0.971375,1.01712,0.98631895,1.0028145
2021-04-22,0.99778724,Lambda,0.97344893,1.0208062,0.98880893,1.0057184
2021-04-23,1.0005403,Lambda,0.9754064,1.0249233,0.9912313,1.0088322
2021-04-24,1.003274,Lambda,0.9774536,1.0286683,0.9937435,1.01199
2021-04-25,1.0061002,Lambda,0.9796433,1.0321083,0.99620414,1.0148996
2021-04-26,1.008924,Lambda,0.98149425,1.0355564,0.9987663,1.0179688
2021-04-27,1.011736,Lambda,0.983322,1.0391246,1.0012674,1.0210394
2021-04-28,1.0145441,Lambda,0.9850876,1.043134,1.0036932,1.0241334
2021-04-29,1.0173237,Lambda,0.9868891,1.046845,1.0062572,1.0273665
2021-04-30,1.020098,Lambda,0.9886987,1.0504603,1.0086368,1.0304549
2021-05-01,1.022801,Lambda,0.9905182,1.0541508,1.0110942,1.0335416
2021-05-02,1.0256631,Lambda,0.99235773,1.0576347,1.0135672,1.0364841
2021-05-03,1.0285048,Lambda,0.9945368,1.0613787,1.0160667,1.0396578
2021-05-04,1.0314007,Lambda,0.99661,1.0651287,1.0185905,1.0428308
2021-05-05,1.0341902,Lambda,0.99836016,1.0689206,1.0211209,1.0459137
2021-05-06,1.036936,Lambda,1.0001476,1.0726476,1.0237097,1.0490344
2021-05-07,1.0397791,Lambda,1.002002,1.0763831,1.0262017,1.0520357
2021-05-08,1.0426708,Lambda,1.0037754,1.0799096,1.0286543,1.0551605
2021-05-09,1.0456238,Lambda,1.0056801,1.0837208,1.0311171,1.0584168
2021-05-10,1.0485065,Lambda,1.0077581,1.0875455,1.0336542,1.0616724
2021-05-11,1.0514033,Lambda,1.0095835,1.0913838,1.0361291,1.0648987
2021-05-12,1.0542561,Lambda,1.0114286,1.0952356,1.0386257,1.0681899
2021-05-13,1.0572499,Lambda,1.013448,1.0990815,1.0412304,1.071375
2021-05-14,1.0602233,Lambda,1.0154713,1.1029124,1.043791,1.0747153
2021-05-15,1.0631874,Lambda,1.017499,1.1067566,1.046421,1.077999
2021-05-16,1.0633813,Lambda,1.0177763,1.1071109,1.0466418,1.0782014
2021-05-17,1.057908,Lambda,1.0139712,1.1006416,1.0418257,1.0725346
2021-05-18,1.052571,Lambda,1.0096228,1.0939064,1.0373518,1.0666177
2021-05-19,1.0471923,Lambda,1.0060049,1.0877281,1.0326935,1.0610278
2021-05-20,1.0419023,Lambda,1.0025735,1.0811435,1.0276961,1.0556215
2021-05-21,1.0367398,Lambda,0.99803245,1.0743947,1.0228928,1.0499972
2021-05-22,1.0313734,Lambda,0.9941404,1.0685061,1.0179036,1.0445962
2021-05-23,1.0261818,Lambda,0.990036,1.0622241,1.0131732,1.0390948
2021-05-24,1.021066,Lambda,0.9855692,1.0559595,1.0085369,1.0337737
2021-05-25,1.0161655,Lambda,0.9817058,1.0503981,1.0036986,1.0280523
2021-05-26,1.0112813,Lambda,0.97763026,1.045191,0.9993458,1.0225463
2021-05-27,1.0061944,Lambda,0.97400594,1.0385264,0.9947729,1.0172615
2021-05-28,1.0009587,Lambda,0.96979517,1.0324962,0.9901995,1.0120182
2021-05-29,0.9958466,Lambda,0.9659079,1.0271091,0.9856076,1.006628
2021-05-30,0.9908177,Lambda,0.9620923,1.0205833,0.9807585,1.001414
2021-05-31,0.98581934,Lambda,0.9582863,1.0145172,0.97617143,0.9962019
2021-06-01,0.9808178,Lambda,0.9542625,1.0085796,0.97153914,0.9909967
2021-06-02,0.97599137,Lambda,0.9502421,1.0028603,0.9670607,0.9857736
2021-06-03,0.9710669,Lambda,0.9465118,0.9974495,0.96249557,0.9805657
2021-06-04,0.9662487,Lambda,0.9429051,0.9923534,0.95791775,0.97551465
