Dates;age_group;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
19/04/2020;70-80+;15;0;0;0;15;11;0;0;0;11;3;0;0;0;3
20/04/2020;0-19;23;0;0;0;23;2;0;0;0;2;0;0;0;0;0
20/04/2020;20-39;76;0;0;0;76;7;0;0;0;7;1;0;0;0;1
20/04/2020;40-49;19;0;0;0;19;5;0;0;0;5;1;0;0;0;1
20/04/2020;50-59;30;0;0;0;30;6;0;0;0;6;0;0;0;0;0
20/04/2020;60-69;21;0;0;0;21;2;0;0;0;2;3;0;0;0;3
20/04/2020;70-80+;13;0;0;0;13;5;0;0;0;5;5;0;0;0;5
21/04/2020;0-19;19;0;0;0;19;2;0;0;0;2;1;0;0;0;1
21/04/2020;20-39;78;0;0;0;78;9;0;0;0;9;0;0;0;0;0
21/04/2020;40-49;28;0;0;0;28;1;0;0;0;1;0;0;0;0;0
21/04/2020;50-59;19;0;0;0;19;6;0;0;0;6;1;0;0;0;1
21/04/2020;60-69;17;0;0;0;17;3;0;0;0;3;3;0;0;0;3
21/04/2020;70-80+;14;0;0;0;14;13;0;0;0;13;5;0;0;0;5
22/04/2020;0-19;14;0;0;0;14;0;0;0;0;0;0;0;0;0;0
22/04/2020;20-39;95;0;0;0;95;5;0;0;0;5;1;0;0;0;1
22/04/2020;40-49;41;0;0;0;41;2;0;0;0;2;3;0;0;0;3
22/04/2020;50-59;25;0;0;0;25;4;0;0;0;4;1;0;0;0;1
22/04/2020;60-69;13;0;0;0;13;7;0;0;0;7;2;0;0;0;2
22/04/2020;70-80+;6;0;0;0;6;8;0;0;0;8;2;0;0;0;2
23/04/2020;0-19;18;0;0;0;18;0;0;0;0;0;0;0;0;0;0
23/04/2020;20-39;96;0;0;0;96;7;0;0;0;7;1;0;0;0;1
23/04/2020;40-49;32;0;0;0;32;6;0;0;0;6;1;0;0;0;1
23/04/2020;50-59;17;0;0;0;17;10;0;0;0;10;0;0;0;0;0
23/04/2020;60-69;19;0;0;0;19;9;0;0;0;9;1;0;0;0;1
23/04/2020;70-80+;13;0;0;0;13;11;0;0;0;11;7;0;0;0;7
24/04/2020;0-19;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0
24/04/2020;20-39;133;0;0;0;133;14;0;0;0;14;0;0;0;0;0
24/04/2020;40-49;51;0;0;0;51;2;0;0;0;2;1;0;0;0;1
24/04/2020;50-59;43;0;0;0;43;4;0;0;0;4;2;0;0;0;2
24/04/2020;60-69;26;0;0;0;26;8;0;0;0;8;5;0;0;0;5
24/04/2020;70-80+;22;0;0;0;22;10;0;0;0;10;7;0;0;0;7
25/04/2020;0-19;33;0;0;0;33;3;0;0;0;3;0;0;0;0;0
25/04/2020;20-39;110;0;0;0;110;6;0;0;0;6;0;0;0;0;0
25/04/2020;40-49;47;0;0;0;47;7;0;0;0;7;2;0;0;0;2
25/04/2020;50-59;35;0;0;0;35;5;0;0;0;5;1;0;0;0;1
25/04/2020;60-69;18;0;0;0;18;7;0;0;0;7;3;0;0;0;3
25/04/2020;70-80+;20;0;0;0;20;11;0;0;0;11;5;0;0;0;5
26/04/2020;0-19;17;0;0;0;17;3;0;0;0;3;0;0;0;0;0
26/04/2020;20-39;121;0;0;0;121;9;0;0;0;9;1;0;0;0;1
26/04/2020;40-49;43;0;0;0;43;8;0;0;0;8;0;0;0;0;0
26/04/2020;50-59;32;0;0;0;32;9;0;0;0;9;0;0;0;0;0
26/04/2020;60-69;14;0;0;0;14;11;0;0;0;11;6;0;0;0;6
26/04/2020;70-80+;12;0;0;0;12;21;0;0;0;21;11;0;0;0;11
27/04/2020;0-19;35;0;0;0;35;1;0;0;0;1;0;0;0;0;0
27/04/2020;20-39;98;0;0;0;98;13;0;0;0;13;2;0;0;0;2
27/04/2020;40-49;30;0;0;0;30;13;0;0;0;13;2;0;0;0;2
27/04/2020;50-59;29;0;0;0;29;13;0;0;0;13;1;0;0;0;1
27/04/2020;60-69;10;0;0;0;10;7;0;0;0;7;1;0;0;0;1
27/04/2020;70-80+;15;0;0;0;15;16;0;0;0;16;5;0;0;0;5
28/04/2020;0-19;35;0;0;0;35;1;0;0;0;1;0;0;0;0;0
